X,Z
27.65699,-9.729799
27.85697,-9.726524
28.05694,-9.723249
28.25692,-9.719975
28.45689,-9.7167
28.65686,-9.713425
28.85684,-9.71015
29.05681,-9.706875
29.25679,-9.7036
29.46293,-9.695553
29.66908,-9.687506
29.87523,-9.679459
30.08137,-9.671412
30.28752,-9.663364
30.49366,-9.655317
30.69981,-9.64727
30.90596,-9.639223
31.1121,-9.631176
31.31825,-9.623129
31.52439,-9.615082
31.73054,-9.607035
31.59813,-9.756927
31.46572,-9.906818
31.33331,-10.05671
31.2009,-10.2066
31.06849,-10.35649
30.93608,-10.50639
30.80367,-10.65628
30.67126,-10.80617
30.53885,-10.95606
30.40644,-11.10595
30.27403,-11.25585
30.14162,-11.40574
30.00921,-11.55563
29.8768,-11.70552
29.74439,-11.85541
29.61198,-12.0053
29.47957,-12.1552
29.34716,-12.30509
29.21475,-12.45498
29.08234,-12.60487
28.94993,-12.75476
28.81752,-12.90466
28.68511,-13.05455
28.5527,-13.20444
28.42029,-13.35433
28.28788,-13.50422
28.15547,-13.65411
28.02306,-13.80401
27.89065,-13.9539
27.75824,-14.10379
27.62583,-14.25368
27.49342,-14.40357
27.36101,-14.55347
27.2286,-14.70336
27.09619,-14.85325
26.96378,-15.00314
26.83137,-15.15303
26.69896,-15.30293
26.19455,-15.50202
25.69014,-15.70112
25.18572,-15.90022
24.68131,-16.09932
24.1769,-16.29842
23.67249,-16.49752
23.16808,-16.69662
22.66367,-16.89573
22.15925,-17.09483
21.65484,-17.29393
21.15043,-17.49303
20.64602,-17.69213
20.14161,-17.89123
20.33568,-17.93954
20.52976,-17.98786
20.72384,-18.03618
20.91791,-18.0845
21.11199,-18.13281
21.30607,-18.18113
21.50014,-18.22945
21.69422,-18.27776
21.8883,-18.32608
22.08237,-18.3744
22.27645,-18.42271
22.47053,-18.47103
22.6646,-18.51935
22.85868,-18.56767
23.05276,-18.61598
23.24683,-18.6643
23.44091,-18.71262
23.63498,-18.76093
23.82906,-18.80925
24.02314,-18.85757
24.21721,-18.90588
24.41129,-18.9542
