X,Z
-2.491582,-1.521761
-2.325341,-1.632954
-2.1591,-1.744148
-1.992859,-1.855341
-1.826618,-1.966535
-1.660378,-2.077728
-1.494137,-2.188921
-1.327896,-2.300115
-1.161655,-2.411308
-0.9954143,-2.522502
-0.8291734,-2.633695
-0.6629326,-2.744889
-0.4966917,-2.856082
-0.3304508,-2.967275
-0.16421,-3.078469
-0.2353559,-2.891551
-0.3065019,-2.704633
-0.3776478,-2.517715
-0.4487938,-2.330798
-0.5199398,-2.14388
-0.5910857,-1.956962
-0.6622317,-1.770044
-0.7333776,-1.583127
-0.8045236,-1.396209
-0.8756695,-1.209291
-0.9468155,-1.022373
-1.017962,-0.8354554
-1.089108,-0.6485376
-1.032624,-0.840396
-0.9761412,-1.032254
-0.9196581,-1.224113
-0.8631749,-1.415971
-0.8066918,-1.60783
-0.7502086,-1.799688
-0.6937255,-1.991547
-0.6372423,-2.183405
-0.5807592,-2.375263
-0.524276,-2.567122
-0.4677929,-2.758981
-0.4113097,-2.950839
-0.3548266,-3.142698
-0.2983434,-3.334556
-0.2418603,-3.526415
-0.1853771,-3.718273
-0.128894,-3.910132
-0.07241083,-4.10199
-0.01592769,-4.293849
0.04055545,-4.485707
0.0970386,-4.677565
0.1535217,-4.869423
0.2100049,-5.061282
0.266488,-5.25314
0.3229712,-5.444998
0.3794543,-5.636857
0.4359375,-5.828715
0.4924206,-6.020573
0.5489038,-6.212431
0.6053869,-6.40429
0.6618701,-6.596148
0.7183532,-6.788006
0.7748364,-6.979865
0.8313195,-7.171723
0.8878027,-7.363581
0.9442858,-7.555439
1.000769,-7.747298
1.057252,-7.939156
1.113735,-8.131015
1.170218,-8.322873
1.226701,-8.514731
1.283185,-8.70659
1.339668,-8.898448
1.396151,-9.090306
1.452634,-9.282165
1.509117,-9.474023
1.5656,-9.665881
1.622084,-9.857739
1.678567,-10.0496
1.73505,-10.24146
1.791533,-10.43331
1.848016,-10.62517
1.904499,-10.81703
1.960982,-11.00889
2.017466,-11.20075
2.073949,-11.39261
2.130432,-11.58446
2.186915,-11.77632
2.243398,-11.96818
2.299881,-12.16004
2.356364,-12.3519
2.412847,-12.54376
2.46933,-12.73561
2.525813,-12.92747
2.582296,-13.11933
2.638779,-13.31119
2.695262,-13.50305
2.751745,-13.69491
2.808228,-13.88676
2.864711,-14.07862
2.830134,-13.88163
2.795557,-13.68465
2.76098,-13.48766
2.726403,-13.29067
2.691827,-13.09368
2.65725,-12.89669
2.622673,-12.69971
2.588096,-12.50272
2.553519,-12.30573
2.518942,-12.10874
2.484365,-11.91175
2.449788,-11.71476
2.415211,-11.51778
2.380635,-11.32079
2.346058,-11.1238
2.311481,-10.92681
2.276904,-10.72982
2.242327,-10.53284
2.20775,-10.33585
2.173173,-10.13886
2.138596,-9.941872
2.104019,-9.744884
2.069443,-9.547895
2.034866,-9.350907
2.000289,-9.153919
1.965712,-8.956931
1.931135,-8.759943
1.896558,-8.562955
1.861981,-8.365967
1.827404,-8.168979
1.792827,-7.97199
1.75825,-7.775002
1.723674,-7.578013
1.689097,-7.381024
1.65452,-7.184036
1.619943,-6.987047
1.585366,-6.790059
1.550789,-6.59307
1.516212,-6.396081
1.481635,-6.199093
1.447058,-6.002104
1.412482,-5.805116
1.377905,-5.608127
1.343328,-5.411139
1.344007,-5.21114
1.344685,-5.011141
1.345364,-4.811142
1.346043,-4.611143
1.346722,-4.411144
1.3474,-4.211145
1.348079,-4.011147
1.348758,-3.811148
1.349437,-3.611149
1.350116,-3.41115
1.350794,-3.211151
1.351473,-3.011152
1.352152,-2.811153
1.352831,-2.611155
1.353509,-2.411156
1.354188,-2.211157
1.354867,-2.011158
1.355546,-1.811159
1.356225,-1.61116
1.356903,-1.411161
1.357582,-1.211163
1.358261,-1.011164
1.35894,-0.8111649
1.359618,-0.611166
1.360297,-0.4111672
1.360976,-0.2111683
1.361655,-0.01116952
1.362334,0.1888293
1.363012,0.3888281
1.363691,0.588827
1.36437,0.7888258
1.365049,0.9888246
1.365727,1.188823
1.366406,1.388822
1.367085,1.588821
1.367764,1.78882
1.368443,1.988819
1.369121,2.188818
1.3698,2.388817
1.370479,2.588815
1.371158,2.788814
1.371836,2.988813
1.372515,3.188812
1.373194,3.388811
1.373873,3.58881
1.374552,3.788809
1.37523,3.988807
1.375909,4.188806
1.376588,4.388805
1.377267,4.588804
1.279685,4.414225
1.182103,4.239645
1.084521,4.065066
0.9869397,3.890487
0.889358,3.715909
0.7917764,3.54133
0.6941947,3.366751
0.596613,3.192172
0.4026636,3.143349
0.2087143,3.094527
0.01476499,3.045704
-0.1791843,2.996881
-0.3731337,2.948059
-0.567083,2.899236
-0.7610323,2.850413
-0.9549817,2.801591
-1.148931,2.752768
-1.34288,2.703945
-1.53683,2.655123
-1.730779,2.6063
-1.924728,2.557477
-2.118678,2.508655
-2.312627,2.459832
-2.506576,2.41101
-2.700525,2.362187
-2.894475,2.313364
-3.088424,2.264542
-3.282373,2.215719
-3.476322,2.166896
-3.670271,2.118074
-3.864221,2.069251
-4.05817,2.020428
-4.252119,1.971606
-4.446068,1.922783
-4.640018,1.87396
-4.833967,1.825138
-5.027916,1.776315
-5.221865,1.727493
-5.415814,1.67867
-5.609764,1.629847
-5.803713,1.581025
-5.997662,1.532202
-6.191611,1.483379
-6.385561,1.434557
-6.57951,1.385734
-6.773459,1.336911
-6.967408,1.288089
-7.161357,1.239266
-7.355307,1.190444
-7.549256,1.141621
-7.743205,1.092798
-7.937154,1.043976
-8.131104,0.995153
-8.325053,0.9463303
-8.519003,0.8975077
-8.712953,0.848685
-8.906902,0.7998624
-9.100852,0.7510397
-9.294802,0.7022171
-9.488751,0.6533945
-9.682701,0.6045718
-9.876651,0.5557492
-10.0706,0.5069265
-10.26455,0.4581039
-10.4585,0.4092813
-10.65245,0.3604586
-10.8464,0.311636
-11.04035,0.2628133
-11.2343,0.2139907
-11.42825,0.165168
-11.6222,0.1163454
-11.81615,0.0675227
-12.0101,0.01870005
-12.20405,-0.03012261
-12.398,-0.07894526
-12.59195,-0.1277679
-12.7859,-0.1765906
-12.97985,-0.2254132
-13.1738,-0.2742359
-13.36775,-0.3230585
-13.5617,-0.3718812
-13.75564,-0.4207038
-13.94959,-0.4695265
-14.14354,-0.5183491
-14.33749,-0.5671718
-14.53144,-0.6159944
-14.72539,-0.664817
-14.91934,-0.7136397
-15.11329,-0.7624623
-15.30724,-0.811285
-15.50119,-0.8601076
-15.69514,-0.9089302
-15.88909,-0.9577529
-16.08304,-1.006576
-16.27699,-1.055398
-16.47094,-1.104221
-16.66489,-1.153044
-16.85884,-1.201866
-17.05278,-1.250689
-17.24673,-1.299511
-17.44068,-1.348334
-17.63463,-1.397157
-17.82858,-1.445979
-18.02253,-1.494802
-18.21648,-1.543625
-18.41043,-1.592447
-18.60437,-1.64127
-18.79832,-1.690093
-18.99227,-1.738915
-19.18622,-1.787738
-19.38017,-1.83656
-19.57412,-1.885383
-19.76807,-1.934206
-19.96202,-1.983028
-20.15596,-2.031851
-20.34991,-2.080674
-20.54386,-2.129496
-20.73781,-2.178319
-20.93176,-2.227142
-21.12571,-2.275964
-21.31966,-2.324787
-21.51361,-2.37361
-21.70755,-2.422432
-21.9015,-2.471255
-22.09545,-2.520077
-22.2894,-2.5689
-22.48335,-2.617723
-22.6773,-2.666545
-22.87125,-2.715368
-23.0652,-2.764191
-23.25914,-2.813013
-23.45309,-2.861836
-23.64704,-2.910659
-23.84099,-2.959481
-24.03494,-3.008304
-24.22889,-3.057127
-24.42284,-3.105949
-24.61679,-3.154772
-24.81073,-3.203594
-25.00468,-3.252417
-25.19863,-3.30124
-25.39258,-3.350062
-25.58653,-3.398885
-25.78048,-3.447708
-25.97443,-3.49653
-26.16838,-3.545353
-26.36232,-3.594176
-26.55627,-3.642998
-26.75022,-3.691821
-26.94417,-3.740644
-27.13812,-3.789466
-27.33207,-3.838289
-27.52602,-3.887111
-27.71996,-3.935934
-27.91391,-3.984757
-28.10786,-4.033579
-28.30181,-4.082402
-28.49576,-4.131225
-28.68971,-4.180048
-28.88366,-4.228871
-29.07761,-4.277694
-29.27155,-4.326517
-29.4655,-4.37534
-29.64257,-4.282345
-29.81963,-4.18935
-29.9967,-4.096355
-30.17376,-4.003361
-30.35083,-3.910366
-30.52789,-3.817372
-30.70496,-3.724377
-30.88202,-3.631383
-31.05909,-3.538388
-31.23615,-3.445394
-31.41322,-3.3524
-31.59028,-3.259405
-31.76735,-3.166411
-31.94441,-3.073416
-32.12148,-2.980422
-32.29855,-2.887427
-32.47561,-2.794433
-32.65268,-2.701438
-32.82975,-2.608444
-33.00681,-2.51545
-33.18388,-2.422455
-33.36095,-2.329461
-33.53801,-2.236466
-33.71508,-2.143472
-33.89215,-2.050477
-34.06921,-1.957483
-34.24628,-1.864488
-34.42335,-1.771494
-34.60041,-1.678499
-34.77748,-1.585504
-34.95455,-1.49251
-35.13161,-1.399515
-35.30868,-1.306521
-35.48575,-1.213526
-35.66282,-1.120532
-35.83988,-1.027537
-36.01695,-0.9345424
-36.19402,-0.8415478
-36.37108,-0.7485533
-36.54815,-0.6555587
-36.72522,-0.5625641
-36.90228,-0.4695696
-37.07935,-0.376575
-37.25642,-0.2835804
-37.43348,-0.1905859
-37.52715,-0.3672953
-37.62082,-0.5440048
-37.71449,-0.7207142
-37.80816,-0.8974236
-37.90183,-1.074133
-37.9955,-1.250842
-38.08917,-1.427552
-38.18284,-1.604261
-38.27651,-1.780971
-38.37018,-1.95768
-38.46385,-2.13439
-38.55752,-2.311099
-38.65119,-2.487808
-38.74486,-2.664518
-38.83853,-2.841227
-38.9322,-3.017937
-39.02587,-3.194646
-39.11954,-3.371356
-39.21321,-3.548065
-39.30688,-3.724774
-39.40055,-3.901484
-39.49422,-4.078193
-39.58789,-4.254903
-39.68156,-4.431612
-39.77523,-4.608322
-39.8689,-4.785032
-39.96257,-4.961741
-40.05624,-5.138451
-40.14991,-5.315161
-40.24358,-5.49187
-40.33725,-5.66858
-40.43092,-5.84529
-40.52459,-6.021999
-40.61826,-6.198709
-40.71193,-6.375419
-40.8056,-6.552128
-40.89927,-6.728838
-40.99294,-6.905548
-41.08661,-7.082257
-41.18028,-7.258967
-41.27395,-7.435677
-41.36762,-7.612386
-41.46129,-7.789096
-41.55496,-7.965806
-41.64863,-8.142515
-41.7423,-8.319224
-41.83597,-8.495934
-41.92964,-8.672643
-42.02331,-8.849352
-42.11698,-9.026061
-42.21065,-9.20277
-42.30432,-9.379479
-42.39799,-9.556189
-42.49166,-9.732898
-42.58533,-9.909607
-42.679,-10.08632
-42.77267,-10.26303
-42.86634,-10.43973
-42.96001,-10.61644
-43.05368,-10.79315
-43.14735,-10.96986
-43.24102,-11.14657
-43.33469,-11.32328
-43.42836,-11.49999
-43.52203,-11.6767
-43.6157,-11.85341
-43.70937,-12.03012
-43.80304,-12.20683
-43.89671,-12.38354
-43.99038,-12.56024
-44.08405,-12.73695
-44.17772,-12.91366
-44.27139,-13.09037
-44.36506,-13.26708
-44.45872,-13.44379
-44.55239,-13.6205
-44.64606,-13.79721
-44.73973,-13.97392
-44.8334,-14.15063
-44.92707,-14.32734
-45.02074,-14.50405
-45.11441,-14.68075
-45.20808,-14.85746
-45.30175,-15.03417
-45.39542,-15.21088
-45.48909,-15.38759
-45.58276,-15.5643
-45.67643,-15.74101
-45.7701,-15.91772
-45.86377,-16.09443
-45.95744,-16.27114
-46.05111,-16.44785
-46.14478,-16.62456
-46.23845,-16.80127
-46.33212,-16.97798
-46.42579,-17.15469
-46.51946,-17.3314
-46.61313,-17.50811
-46.7068,-17.68482
-46.80047,-17.86153
-46.89414,-18.03824
-46.98781,-18.21495
-47.08148,-18.39166
-47.17515,-18.56837
-47.26882,-18.74508
-47.36249,-18.92179
-47.45616,-19.0985
-47.54983,-19.27521
-47.6435,-19.45192
-47.73717,-19.62863
-47.83084,-19.80534
-47.92451,-19.98205
-48.01818,-20.15876
-48.11185,-20.33547
-48.20552,-20.51218
-48.29919,-20.68889
-48.39286,-20.8656
-48.48653,-21.04231
-48.5802,-21.21902
-48.67387,-21.39573
-48.76754,-21.57244
-48.86121,-21.74915
-48.95488,-21.92586
-49.04855,-22.10257
-49.14222,-22.27928
-49.23589,-22.45599
-49.32956,-22.6327
-49.42323,-22.80941
-49.5169,-22.98612
-49.61057,-23.16283
-49.70424,-23.33954
-49.79791,-23.51625
-49.89158,-23.69296
-49.98525,-23.86967
-50.07892,-24.04638
-50.17259,-24.22309
-50.26626,-24.39981
-50.35993,-24.57652
-50.4536,-24.75323
-50.54727,-24.92994
-50.64094,-25.10665
-50.73461,-25.28336
-50.82828,-25.46007
-50.92195,-25.63678
-51.01562,-25.81349
-51.10929,-25.9902
-51.20296,-26.16691
-51.29663,-26.34362
-51.3903,-26.52033
-51.48397,-26.69704
-51.57764,-26.87375
-51.67131,-27.05046
-51.76498,-27.22717
-51.85865,-27.40388
-51.95232,-27.58059
-52.04599,-27.7573
-52.13966,-27.93401
-52.23333,-28.11072
-52.327,-28.28743
-52.42067,-28.46414
-52.51434,-28.64085
-52.60801,-28.81756
-52.70168,-28.99427
-52.79535,-29.17098
-52.88902,-29.34769
-52.98269,-29.5244
-53.07635,-29.70111
-53.17002,-29.87782
-53.26369,-30.05453
-53.35736,-30.23124
-53.45103,-30.40795
-53.5447,-30.58466
-53.63837,-30.76137
-53.73204,-30.93808
-53.82571,-31.11479
-53.91938,-31.2915
-54.01305,-31.46821
-54.10672,-31.64492
-54.20039,-31.82163
-54.29406,-31.99834
-54.38773,-32.17505
-54.4814,-32.35176
-54.57507,-32.52847
-54.66874,-32.70517
-54.76241,-32.88188
-54.85608,-33.05859
-54.94975,-33.2353
-55.04342,-33.41201
-55.13709,-33.58871
-55.23076,-33.76542
-55.32443,-33.94213
-55.4181,-34.11884
-55.51177,-34.29555
-55.60544,-34.47226
-55.69911,-34.64896
-55.79278,-34.82567
-55.88645,-35.00238
-55.98012,-35.17909
-56.07379,-35.3558
-56.16746,-35.53251
-56.26113,-35.70921
-56.3548,-35.88592
-56.44847,-36.06263
-56.54214,-36.23934
-56.63581,-36.41605
-56.72948,-36.59275
-56.82315,-36.76946
-56.91682,-36.94617
-57.01049,-37.12288
-57.10416,-37.29959
-57.19783,-37.4763
-57.2915,-37.653
-57.38517,-37.82971
-57.47884,-38.00642
-57.57251,-38.18313
-57.66618,-38.35984
-57.75985,-38.53654
-57.85352,-38.71325
-57.94719,-38.88996
-58.04086,-39.06667
-58.13453,-39.24338
-58.2282,-39.42009
-58.32187,-39.59679
-58.41554,-39.7735
-58.50921,-39.95021
-58.60288,-40.12692
-58.69655,-40.30363
-58.79022,-40.48034
-58.88389,-40.65704
-58.97756,-40.83375
-59.07123,-41.01046
-59.1649,-41.18717
-59.25857,-41.36388
-59.35224,-41.54058
-59.44591,-41.71729
-59.53958,-41.894
-59.63325,-42.07071
-59.72692,-42.24742
-59.82059,-42.42413
-59.91426,-42.60083
-60.00793,-42.77754
-60.1016,-42.95425
-60.19527,-43.13096
-60.28894,-43.30767
-60.38261,-43.48438
-60.47628,-43.66108
-60.56995,-43.83779
-60.66362,-44.0145
-60.75729,-44.19121
-60.85096,-44.36792
-60.94463,-44.54462
-61.0383,-44.72133
-61.13197,-44.89804
-61.22564,-45.07475
-61.31931,-45.25146
-61.41298,-45.42817
-61.50665,-45.60487
-61.60032,-45.78158
-61.69398,-45.95829
-61.78765,-46.135
-61.88132,-46.31171
-61.97499,-46.48841
-62.06866,-46.66512
-62.16233,-46.84183
-62.256,-47.01854
-62.34967,-47.19525
-62.44334,-47.37196
-62.53701,-47.54866
-62.63068,-47.72537
-62.72435,-47.90208
-62.81802,-48.07879
-62.91169,-48.2555
-63.00536,-48.43221
-63.09903,-48.60891
-63.1927,-48.78562
-63.28637,-48.96233
-63.38004,-49.13904
-63.47371,-49.31575
-63.56738,-49.49245
-63.66105,-49.66916
-63.75472,-49.84587
-63.84839,-50.02258
-63.94206,-50.19929
-63.74277,-50.21609
-63.54348,-50.2329
-63.34419,-50.24971
-63.1449,-50.26652
-62.94561,-50.28333
-62.74632,-50.30013
-62.54702,-50.31694
-62.34773,-50.33375
-62.14844,-50.35056
-61.94915,-50.36736
-61.74986,-50.38417
-61.55057,-50.40098
-61.35128,-50.41779
-61.15199,-50.43459
-60.95269,-50.4514
-60.7534,-50.46821
-60.55411,-50.48502
-60.35482,-50.50182
-60.15553,-50.51863
-59.95624,-50.53544
-59.75695,-50.55225
-59.55766,-50.56905
-59.35836,-50.58586
-59.15907,-50.60267
-58.95978,-50.61948
-58.76049,-50.63628
-58.5612,-50.65309
-58.36191,-50.6699
-58.16262,-50.68671
-57.96333,-50.70351
-57.76403,-50.72032
-57.56474,-50.73713
-57.36545,-50.75394
-57.16616,-50.77074
-56.96687,-50.78755
-56.76758,-50.80436
-56.56829,-50.82117
