X,Z
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.4988194,-3.468083
-0.3092807,-3.404247
-0.1197421,-3.34041
0.06979659,-3.276574
0.2593352,-3.212737
0.4488739,-3.148901
0.6384125,-3.085064
0.8279512,-3.021227
1.01749,-2.957391
1.207028,-2.893554
1.396567,-2.829718
1.586106,-2.765881
1.775644,-2.702044
1.965183,-2.638208
2.154721,-2.574371
2.34426,-2.510535
2.533799,-2.446698
2.723338,-2.382862
2.912876,-2.319025
3.102415,-2.255188
3.291954,-2.191352
3.481493,-2.127515
3.671031,-2.063679
3.86057,-1.999842
4.050108,-1.936006
4.239647,-1.872169
4.429185,-1.808333
4.618724,-1.744496
4.808262,-1.68066
4.997801,-1.616824
5.187339,-1.552987
5.376878,-1.489151
5.566416,-1.425314
5.755955,-1.361478
5.945493,-1.297641
6.135032,-1.233805
6.32457,-1.169968
6.514109,-1.106132
6.703647,-1.042295
6.898311,-0.9767329
7.092975,-0.9111704
7.287639,-0.8456078
7.482303,-0.7800453
7.676967,-0.7144827
7.871631,-0.6489202
8.066296,-0.5833576
8.26096,-0.5177951
8.455624,-0.4522325
8.650288,-0.38667
8.844952,-0.3211074
9.039616,-0.2555449
9.23428,-0.1899824
9.359812,-0.3456798
9.485344,-0.5013773
9.610876,-0.6570748
9.736408,-0.8127723
9.86194,-0.9684697
9.987473,-1.124167
10.113,-1.279865
10.23854,-1.435562
10.36407,-1.59126
10.4896,-1.746957
10.61513,-1.902655
10.74067,-2.058352
10.8662,-2.21405
10.99173,-2.369747
11.11726,-2.525445
11.24279,-2.681142
11.36833,-2.83684
11.49386,-2.992537
11.61939,-3.148235
11.74492,-3.303933
11.87045,-3.45963
11.99599,-3.615328
12.12152,-3.771025
12.24705,-3.926723
12.37258,-4.08242
12.49812,-4.238118
12.62365,-4.393815
12.74918,-4.549512
12.87471,-4.70521
13.00024,-4.860907
13.12578,-5.016604
13.25131,-5.172302
13.37684,-5.327999
13.50237,-5.483696
13.6279,-5.639394
13.75344,-5.795091
13.87897,-5.950788
14.0045,-6.106486
14.05932,-6.257153
14.11413,-6.40782
14.16895,-6.558487
14.22377,-6.709155
14.27858,-6.859822
14.3334,-7.010489
14.38822,-7.161156
14.44303,-7.311823
14.49785,-7.462491
14.55266,-7.613158
14.60748,-7.763825
14.6623,-7.914492
14.78783,-8.070189
14.91336,-8.225887
15.03889,-8.381585
15.16442,-8.537283
15.28996,-8.692981
15.41549,-8.848679
15.54102,-9.004376
15.66655,-9.160074
15.79209,-9.315772
15.91762,-9.47147
16.04315,-9.627168
16.16868,-9.782866
15.96921,-9.768361
15.76974,-9.753857
15.57026,-9.739352
15.37079,-9.724848
15.17132,-9.710343
14.97184,-9.695839
14.77237,-9.681334
14.5729,-9.66683
14.37342,-9.652326
14.17395,-9.637821
13.97447,-9.623317
13.775,-9.608812
13.57553,-9.594308
13.37605,-9.579803
13.17658,-9.565299
12.97711,-9.550795
12.77763,-9.53629
12.57816,-9.521786
12.37869,-9.507281
12.17921,-9.492777
11.97974,-9.478272
11.78027,-9.463768
11.58079,-9.449264
11.38132,-9.434759
11.18185,-9.420255
10.98237,-9.40575
10.50503,-9.249291
10.02768,-9.092833
9.550338,-8.936374
9.072992,-8.779915
8.595647,-8.623456
8.118301,-8.466997
7.640956,-8.310538
7.16361,-8.154079
6.686265,-7.99762
6.20892,-7.841161
5.731574,-7.684701
5.254229,-7.528242
5.054755,-7.513738
4.855282,-7.499234
4.655808,-7.48473
4.456335,-7.470226
4.256862,-7.455722
4.057388,-7.441218
3.857915,-7.426714
3.658442,-7.41221
3.458968,-7.397707
3.259495,-7.383203
3.060021,-7.368699
2.860548,-7.354195
2.661075,-7.339691
2.461601,-7.325187
2.262128,-7.310683
2.062654,-7.296179
1.863181,-7.281675
1.663708,-7.267171
1.464234,-7.252667
1.264761,-7.238163
1.065288,-7.223659
0.8658142,-7.209155
0.6663408,-7.194651
0.4668674,-7.180147
0.2673941,-7.165643
0.06792067,-7.151139
-0.1315527,-7.136635
-0.3310261,-7.122131
-0.5304995,-7.107627
-0.7299729,-7.093123
-0.9294463,-7.078619
-1.12892,-7.064116
-1.328393,-7.049612
-1.527866,-7.035108
-1.72734,-7.020604
-1.926813,-7.0061
-2.126287,-6.991596
-2.32576,-6.977092
-2.54159,-6.956528
-2.757421,-6.935965
-2.973251,-6.915401
-3.189081,-6.894837
-3.404912,-6.874274
-3.620742,-6.85371
-3.836572,-6.833147
-4.052403,-6.812583
-4.268233,-6.792019
-4.484064,-6.771456
-4.699894,-6.750892
-4.915724,-6.730329
-4.779907,-6.583517
-4.64409,-6.436705
-4.508273,-6.289893
-4.372456,-6.143081
-4.236639,-5.996269
-4.100822,-5.849457
-3.965005,-5.702645
-3.829187,-5.555833
