X,Z
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.728652,8.98744
-3.54444,8.909556
-3.360228,8.831673
-3.176016,8.753789
-2.991804,8.675905
-2.807592,8.598022
-2.62338,8.520138
-2.439168,8.442254
-2.254956,8.36437
-2.070744,8.286487
-1.886532,8.208603
-1.70232,8.130719
-1.518108,8.052835
-1.333896,7.974951
-1.149684,7.897067
-0.965472,7.819183
-0.78126,7.741299
-0.597048,7.663414
-0.4128361,7.58553
-0.2286241,7.507646
-0.04441214,7.429762
0.1397998,7.351878
0.3240118,7.273993
0.5082238,7.196109
0.6924357,7.118225
0.8766477,7.040341
1.06086,6.962457
1.245072,6.884573
1.429284,6.806688
1.613496,6.728804
1.797708,6.65092
1.98192,6.573036
2.166131,6.495152
2.350343,6.417267
2.534555,6.339383
2.718767,6.261499
2.902979,6.183615
3.087191,6.105731
3.271403,6.027846
3.460596,5.947855
3.649789,5.867865
3.838982,5.787874
4.028175,5.707883
4.217369,5.627892
4.406562,5.547901
4.595755,5.46791
4.784948,5.387919
4.974142,5.307929
5.163335,5.227938
5.352528,5.147947
5.541721,5.067956
5.730915,4.987965
5.915127,4.910081
6.099339,4.832197
6.28355,4.754313
6.467762,4.676428
6.651974,4.598544
6.836185,4.52066
7.020397,4.442776
7.204609,4.364892
7.388821,4.287007
7.573032,4.209123
7.757244,4.131239
7.941456,4.053355
7.828402,4.218336
7.715348,4.383317
7.602294,4.548299
7.489241,4.71328
7.376187,4.878262
7.263133,5.043243
7.150079,5.208224
7.037025,5.373206
6.923972,5.538187
6.810918,5.703168
6.697864,5.86815
6.58481,6.033131
6.471756,6.198112
6.358703,6.363094
6.245649,6.528075
6.132595,6.693057
6.019541,6.858038
5.906487,7.023019
5.793434,7.188001
5.68038,7.352982
5.567326,7.517963
5.454272,7.682945
5.341218,7.847926
5.228165,8.012907
5.115111,8.177888
5.002057,8.342869
5.073068,8.668203
5.144078,8.993538
5.215089,9.318872
5.286099,9.644207
5.35711,9.969542
5.428121,10.29488
5.499131,10.62021
5.570142,10.94555
5.641152,11.27088
5.712163,11.59621
5.783174,11.92155
5.854184,12.24688
6.054153,12.24336
6.254122,12.23984
6.454091,12.23631
6.654059,12.23279
6.854028,12.22926
7.053997,12.22574
7.253966,12.22222
7.453935,12.21869
7.653903,12.21517
7.853872,12.21165
8.053842,12.20812
8.253811,12.2046
8.45378,12.20107
8.653749,12.19755
8.853719,12.19403
9.053688,12.1905
9.253657,12.18698
9.453627,12.18345
9.653596,12.17993
9.853565,12.17641
10.05353,12.17288
10.2535,12.16936
10.45347,12.16584
10.65344,12.16231
10.85341,12.15879
11.05338,12.15526
11.25335,12.15174
11.45332,12.14822
11.65329,12.14469
11.85326,12.14117
12.05323,12.13764
12.2532,12.13412
12.45317,12.1306
12.65314,12.12707
12.8531,12.12355
13.05307,12.12003
13.25304,12.1165
13.45301,12.11298
13.55233,12.06017
13.65165,12.00737
13.75096,11.95456
13.85028,11.90176
13.9496,11.84895
14.04891,11.79615
14.14823,11.74334
14.24755,11.69054
14.34686,11.63773
14.44618,11.58493
14.5455,11.53212
14.64481,11.47932
14.84478,11.47579
15.04475,11.47227
15.24472,11.46875
15.44469,11.46522
15.64466,11.4617
15.84463,11.45818
16.0446,11.45465
16.24456,11.45113
16.44453,11.4476
16.6445,11.44408
16.84447,11.44056
17.04444,11.43703
17.24441,11.43351
17.09252,11.30339
16.94064,11.17326
16.78876,11.04314
16.63688,10.91302
16.48499,10.7829
16.33311,10.65278
16.18123,10.52265
16.02935,10.39253
15.87747,10.26241
15.72558,10.13229
15.5737,10.00216
15.42182,9.872043
15.26994,9.74192
15.11806,9.611798
14.96617,9.481676
14.81429,9.351554
14.66241,9.221432
14.51053,9.09131
14.35864,8.961187
14.20676,8.831065
14.05488,8.700943
13.903,8.570821
13.75112,8.440699
13.59923,8.310576
13.44735,8.180454
13.23179,8.024913
