X,Z
4.080396,-4.444084
4.078773,-4.644078
4.07715,-4.844071
4.075528,-5.044065
4.073905,-5.244059
4.072282,-5.444052
4.07066,-5.644046
4.069037,-5.844039
4.067414,-6.044033
4.065792,-6.244027
4.064169,-6.44402
4.062546,-6.644014
4.060924,-6.844007
4.059301,-7.044001
4.057678,-7.243995
4.056056,-7.443988
4.054433,-7.643982
4.05281,-7.843976
4.051188,-8.043969
4.049565,-8.243962
4.047942,-8.443955
4.046319,-8.643949
4.044697,-8.843942
4.043074,-9.043935
4.041451,-9.243928
4.241451,-9.244487
4.44145,-9.245046
4.641449,-9.245605
4.841449,-9.246163
5.041448,-9.246722
5.241447,-9.247281
5.441447,-9.24784
5.641446,-9.248399
5.841445,-9.248958
6.041445,-9.249516
6.241444,-9.250075
6.441443,-9.250634
6.641443,-9.251193
6.841442,-9.251752
7.041441,-9.252311
7.241441,-9.25287
7.44144,-9.253428
7.641439,-9.253987
7.841439,-9.254546
8.041438,-9.255105
8.241437,-9.255664
8.441436,-9.256223
8.641435,-9.256782
8.841434,-9.25734
9.041432,-9.257899
9.241431,-9.258458
9.44143,-9.259017
9.641429,-9.259576
9.841428,-9.260135
10.04143,-9.260694
10.24143,-9.261252
10.44142,-9.261811
10.64142,-9.26237
10.84142,-9.262929
11.04142,-9.263488
11.24142,-9.264047
11.44142,-9.264606
11.64142,-9.265164
11.84142,-9.265723
12.04142,-9.266282
12.24141,-9.266841
12.44141,-9.2674
12.64141,-9.267959
12.84141,-9.268517
13.04141,-9.269076
13.24141,-9.269635
13.44141,-9.270194
13.64141,-9.270753
13.8414,-9.271312
14.0414,-9.271871
14.2414,-9.272429
14.4414,-9.272988
14.6414,-9.273547
14.8414,-9.274106
15.0414,-9.274665
15.2414,-9.275224
15.4414,-9.275783
15.64139,-9.276341
15.84139,-9.2769
16.04139,-9.277459
16.24139,-9.278018
16.13948,-9.10593
16.03757,-8.933843
15.93566,-8.761755
16.00062,-8.950911
16.06558,-9.140066
16.13054,-9.329222
16.19551,-9.518377
16.26047,-9.707533
16.32543,-9.896688
16.39039,-10.08584
16.45536,-10.275
16.52032,-10.46416
16.58528,-10.65331
16.65024,-10.84247
16.71521,-11.03162
16.78017,-11.22078
16.84513,-11.40993
16.91009,-11.59909
16.97506,-11.78824
17.04002,-11.9774
17.10498,-12.16656
17.16994,-12.35571
17.23491,-12.54487
17.13649,-12.37076
17.03807,-12.19665
