X,Z
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.461251,8.982628
-8.395209,8.793846
-8.329167,8.605064
-8.263125,8.416283
-8.197083,8.227501
-8.131042,8.038719
-8.065,7.849938
-7.998957,7.661157
-7.932915,7.472375
-7.866872,7.283594
-7.80083,7.094813
-7.734787,6.906032
-7.668745,6.71725
-7.602703,6.528469
-7.53666,6.339688
-7.470618,6.150907
-7.404575,5.962125
-7.338533,5.773344
-7.272491,5.584563
-7.206448,5.395782
-7.140406,5.207
-7.074363,5.018219
-7.008321,4.829438
-6.942278,4.640656
-6.876236,4.451875
-6.810194,4.263094
-6.744151,4.074313
-6.678109,3.885531
-6.612066,3.69675
-6.546024,3.507969
-6.479981,3.319188
-6.413939,3.130406
-6.347897,2.941625
-6.281854,2.752844
-6.215812,2.564063
-6.149769,2.375281
-6.083727,2.1865
-6.017684,1.997719
-5.951642,1.808937
-5.883814,1.615051
-5.815986,1.421165
-5.748158,1.227279
-5.680329,1.033393
-5.612501,0.8395071
-5.544673,0.6456211
-5.476845,0.451735
-5.409017,0.2578489
-5.341188,0.06396285
-5.27336,-0.1299232
-5.205532,-0.3238093
-5.137704,-0.5176954
-5.069876,-0.7115815
-5.117398,-0.5173095
-5.164921,-0.3230375
-5.212443,-0.1287655
-5.259966,0.06550643
-5.307488,0.2597784
-5.355011,0.4540504
-5.402534,0.6483223
-5.450056,0.8425943
-5.497579,1.036866
-5.545101,1.231138
-5.592624,1.42541
-5.640146,1.619682
-5.687669,1.813954
-5.735191,2.008226
-5.782714,2.202498
-5.830236,2.39677
-5.877759,2.591042
-5.925282,2.785314
-5.972804,2.979586
-6.020327,3.173858
-6.067849,3.36813
-6.115372,3.562402
-6.162894,3.756674
-6.210417,3.950946
-6.257939,4.145218
-6.305462,4.33949
-6.352984,4.533762
-6.400507,4.728034
-6.44803,4.922307
-6.495552,5.116579
-6.543075,5.310851
-6.590597,5.505123
-6.63812,5.699395
-6.685642,5.893667
-6.733165,6.087939
-6.780687,6.282211
-6.82821,6.476483
-6.875732,6.670755
-6.984706,7.070658
-7.09368,7.470562
-7.202654,7.870465
-7.311628,8.270368
-7.420602,8.670271
-7.529576,9.070174
-7.63855,9.470078
-7.747524,9.869981
-7.856498,10.26988
-7.965472,10.66979
-8.074447,11.06969
-8.183421,11.46959
-8.230944,11.66387
-8.278466,11.85814
-8.325989,12.05241
-8.373511,12.24668
-8.421034,12.44095
-8.468556,12.63523
-8.516079,12.8295
-8.563601,13.02377
-8.611124,13.21804
-8.658647,13.41231
-8.706169,13.60659
-8.753692,13.80086
-8.801214,13.99513
-8.848737,14.1894
-8.896259,14.38367
-8.943782,14.57795
-8.991304,14.77222
-9.038827,14.96649
-9.086349,15.16076
-9.133872,15.35503
-9.181395,15.54931
-9.228917,15.74358
-9.27644,15.93785
-9.323962,16.13212
-9.371485,16.32639
-9.23713,16.47454
-9.102776,16.6227
-8.968421,16.77085
-8.834066,16.919
-8.699712,17.06715
-8.565357,17.2153
-8.431003,17.36345
-8.296648,17.5116
-8.162293,17.65976
-8.027939,17.80791
-7.893584,17.95606
-7.75923,18.10421
-7.624875,18.25236
-7.404345,18.39088
-7.183815,18.52941
-6.963285,18.66793
-6.742755,18.80645
-6.522225,18.94498
-6.301695,19.0835
-6.081165,19.22202
-5.860635,19.36055
-5.640105,19.49907
-5.419575,19.63759
-5.199045,19.77612
-4.978515,19.91464
-4.84416,20.06279
-4.709805,20.21094
-4.575451,20.35909
-4.441096,20.50724
-4.306742,20.6554
-4.172387,20.80355
-4.038033,20.9517
-3.903678,21.09985
-3.769324,21.248
-3.634969,21.39615
-3.500615,21.5443
-3.366261,21.69246
-3.231906,21.84061
-3.097552,21.98876
-2.963198,22.13691
-2.828843,22.28506
-2.694489,22.43321
-2.560135,22.58136
-2.42578,22.72952
-2.291426,22.87767
-2.157072,23.02582
-2.022717,23.17397
-1.888363,23.32212
-1.754009,23.47027
-1.619654,23.61842
-1.4853,23.76657
-1.350945,23.91473
-1.216591,24.06288
-1.082237,24.21103
-0.9478824,24.35918
-0.8135279,24.50733
-0.6791735,24.65548
-0.5448191,24.80363
-0.4104647,24.95179
-0.2761103,25.09994
-0.1417559,25.24809
-0.007401496,25.39624
0.1269529,25.54439
0.2776094,25.29217
0.4282659,25.03994
0.5789224,24.78772
0.7295789,24.5355
0.8802353,24.28327
1.030892,24.03105
1.181548,23.77882
1.332205,23.5266
1.482861,23.27438
1.633518,23.02215
1.784174,22.76993
1.934831,22.5177
2.122386,22.58715
2.309942,22.6566
2.497497,22.72604
2.685053,22.79549
2.872608,22.86494
3.060164,22.93438
3.24772,23.00383
3.435275,23.07328
3.622831,23.14272
3.810386,23.21217
3.997942,23.28162
4.185497,23.35106
4.373053,23.42051
4.560609,23.48996
4.748165,23.5594
4.93572,23.62885
5.123276,23.6983
5.310832,23.76774
5.498388,23.83719
5.685944,23.90664
5.873499,23.97608
6.061055,24.04553
6.248611,24.11497
6.436167,24.18442
6.623723,24.25387
6.811278,24.32331
6.860461,24.12946
6.909643,23.9356
6.958826,23.74174
7.008008,23.54788
7.05719,23.35402
7.106373,23.16016
7.155555,22.9663
7.204738,22.77244
7.25392,22.57858
7.303102,22.38472
7.352285,22.19086
7.401467,21.99701
7.451967,21.91246
7.502466,21.82792
7.552966,21.74337
7.603465,21.65882
7.653965,21.57428
7.704464,21.48973
7.754963,21.40519
7.805463,21.32064
7.855962,21.2361
7.906462,21.15155
7.956961,21.06701
8.007461,20.98246
8.05796,20.89792
8.107141,20.70406
8.156323,20.5102
8.205505,20.31634
8.254687,20.12248
8.303869,19.92862
8.353051,19.73476
8.402233,19.5409
8.451415,19.34705
8.500597,19.15319
8.549779,18.95933
8.598961,18.76547
8.648143,18.57161
8.508178,18.42875
8.368213,18.28588
8.228248,18.14302
8.088283,18.00016
7.948318,17.8573
7.808352,17.71444
7.668387,17.57157
7.528422,17.42871
7.388457,17.28585
7.248492,17.14299
7.108527,17.00012
